hang,mau,nam,so_km,dong_co,so_cho,gia_vnd,mau_xe,tinh_trang,loai_dong_co
Mercedes,Benz GLS 450 4Matic,2022,40000,máy xăng 3.0 L,7,4350000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLC 200 4Matic,2022,60000,máy xăng 2.0 L,5,1650000000,trắng,Xe cũ,Xăng
Mercedes,Benz E class E300 AMG,2021,20000,máy xăng 2.0 L,5,1939000000,đen,Xe cũ,Xăng
Ford,Explorer Limited 2.3L EcoBoost,2017,68000,máy xăng 2.3 L,7,965000000,xám,Xe cũ,Xăng
Mercedes,Benz C class C200 Avantgarde,2022,40000,máy xăng 1.5 L,5,1255000000,đen,Xe cũ,Xăng
Toyota,Corolla Cross 1.8V,2022,33000,máy xăng 1.8 L,5,750000000,trắng,Xe cũ,Xăng
Mercedes,Benz V class V250 AMG,2021,36000,máy xăng 2.0 L,6,2299000000,trắng,Xe cũ,Xăng
Honda,City RS 1.5 AT,2022,58000,máy xăng 1.5 L,5,480000000,trắng,Xe cũ,Xăng
VinFast,Lux A 2.0 2.0 AT,2021,,máy xăng 2.0 L,5,575000000,đỏ,Xe cũ,Xăng
BMW,3 Series 320i Sport Line,2022,16000,máy xăng 2.0 L,5,1238000000,đen,Xe cũ,Xăng
Ford,Focus Trend 1.5L,2018,50000,máy xăng 1.5 L,5,350000000,đen,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2017,70000,máy xăng 2.0 L,5,999000000,trắng,Xe cũ,Xăng
Mazda,2 1.5 AT,2015,30000,máy xăng 1.5 L,5,320000000,trắng,Xe cũ,Xăng
Toyota,Fortuner 2.4G 4x2 AT,2020,43000,máy dầu 2.4 L,7,865000000,cát,Xe cũ,Dầu
Mitsubishi,Xpander 1.5 MT,2020,47000,máy xăng 1.5 L,7,440000000,trắng,Xe cũ,Xăng
Mercedes,Benz S class S450L Luxury,2020,45000,máy xăng 3.0 L,5,2888000000,trắng,Xe cũ,Xăng
Toyota,Vios 1.5E CVT,2017,91000,máy xăng 1.5 L,5,320000000,cát,Xe cũ,Xăng
Hyundai,Kona 1.6 Turbo,2021,28000,máy xăng 1.6 L,5,555000000,đen,Xe cũ,Xăng
Toyota,Camry 2.5Q,2019,80000,máy xăng 2.5 L,5,848000000,trắng,Xe cũ,Xăng
Lexus,RX 350,2016,90000,máy xăng 3.5 L,5,2230000000,trắng,Xe cũ,Xăng
Ford,Explorer Limited 2.3L EcoBoost,2017,80000,máy xăng 2.3 L,7,899000000,trắng,Xe cũ,Xăng
Ford,Everest Trend 2.0L 4x2 AT,2018,100000,máy dầu 2.0 L,7,725000000,đen,Xe cũ,Dầu
BMW,5 Series 520i,2018,79000,máy xăng 1.6 L,5,1080000000,trắng,Xe cũ,Xăng
Kia,Carnival Premium 2.2D,2022,70000,máy dầu 2.2 L,7,1130000000,xanh,Xe cũ,Dầu
Toyota,Land Cruiser VX 4.6 V8,2016,,máy xăng 4.6 L,8,2790000000,đồng,Xe cũ,Xăng
Toyota,Vios E CVT,2023,17000,máy xăng 1.5 L,5,455000000,đen,Xe cũ,Xăng
Mercedes,Benz C class C300 AMG,2021,17000,máy xăng 2.0 L,5,1738000000,trắng,Xe cũ,Xăng
Hyundai,Accent 1.4 AT,2015,80000,máy xăng 1.4 L,5,325000000,đỏ,Xe cũ,Xăng
Mitsubishi,Xpander Premium 1.5 AT,2022,50000,máy xăng 1.5 L,7,568000000,đen,Xe cũ,Xăng
BMW,7 Series 740i Pure Excellence,2023,1135,máy xăng 3.0 L,5,5779000000,xám,Xe cũ,Xăng
Subaru,Forester 2.0i-L,2022,37000,máy xăng 2.0 L,5,777000000,xám,Xe cũ,Xăng
Kia,Optima 2.0 AT,2013,72000,máy xăng 2.0 L,5,430000000,trắng,Xe cũ,Xăng
Audi,A7 3.0 TFSI,2014,70000,máy xăng 3.0 L,5,950000000,đen,Xe cũ,Xăng
Hyundai,Tucson 2.0 AT Đặc biệt,2021,35000,máy xăng 2.0 L,5,745000000,đen,Xe cũ,Xăng
Ford,Everest Titanium 2.0L 4x4 AT,2019,88000,máy dầu 2.0 L,7,865000000,đen,Xe cũ,Dầu
BMW,3 Series 320i,2016,75000,máy xăng 2.0 L,5,579000000,trắng,Xe cũ,Xăng
Toyota,Camry 2.4G,2012,110000,máy xăng 2.4 L,5,398000000,đen,Xe cũ,Xăng
Toyota,Vios G 1.5 CVT,2021,10000,máy xăng 1.5 L,5,485000000,đỏ,Xe cũ,Xăng
Ford,Ranger XLT 2.0L 4x4 AT,2022,30000,máy dầu 2.0 L,5,745000000,xám,Xe cũ,Dầu
Toyota,Yaris Cross 1.5 D-CVT,2023,7000,máy xăng 1.5 L,5,605000000,trắng,Xe cũ,Xăng
Ford,Ranger Wildtrak 2.0L 4x4 AT,2020,72000,máy dầu 2.0 L,5,680000000,đen,Xe cũ,Dầu
Mazda,3 1.5L Luxury,2022,31000,máy xăng 1.5 L,5,569000000,đỏ,Xe cũ,Xăng
Ford,Focus Trend 1.6 AT,2013,90000,máy xăng 1.6 L,5,265000000,trắng,Xe cũ,Xăng
Ford,Ranger XLT 2.0L 4x4 AT,2022,40000,máy dầu 2.0 L,5,740000000,xám,Xe cũ,Dầu
VinFast,Lux A 2.0 2.0 AT,2021,69000,máy xăng 2.0 L,5,545000000,xám,Xe cũ,Xăng
Kia,Sedona 2.2 DAT Luxury,2019,11000,máy dầu 2.2 L,7,799000000,trắng,Xe cũ,Dầu
Honda,Civic RS 1.5 AT,2022,76000,máy xăng 1.5 L,5,729000000,đỏ,Xe cũ,Xăng
Ford,Everest Titanium Plus 2.0L 4x4 AT,2024,,máy dầu 2.0 L,7,1489000000,trắng,Xe cũ,Dầu
Mazda,CX5 2.0 AT,2014,120000,máy xăng 2.0 L,5,435000000,cát,Xe cũ,Xăng
Toyota,Corolla altis 1.8G AT,2014,78000,máy xăng 1.8 L,5,450000000,đen,Xe cũ,Xăng
Toyota,Hilux 2.8G 4x4 AT,2016,11000,máy dầu 2.8 L,5,599000000,đen,Xe cũ,Dầu
Mercedes,Benz GLS 450 4Matic,2022,40000,máy xăng 3.0 L,7,4179000000,đỏ,Xe cũ,Xăng
Mercedes,Benz C class C200,2018,,máy xăng 2.0 L,5,799000000,trắng,Xe cũ,Xăng
Nissan,Terra E 2.5 AT 2WD,2019,,máy xăng 2.5 L,7,645000000,đen,Xe cũ,Xăng
Mercedes,Benz GLC 200 4Matic,2020,62000,máy xăng 2.0 L,5,1380000000,đỏ,Xe cũ,Xăng
Lexus,RX 350,2016,90000,máy xăng 3.5 L,5,2199000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2018,63000,máy xăng 2.0 L,5,1150000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2018,62000,máy xăng 2.0 L,5,1139000000,trắng,Xe cũ,Xăng
Porsche,Macan 2.0,2019,65000,máy xăng 2.0 L,5,2399000000,xanh,Xe cũ,Xăng
Mercedes,Benz GLC 200,2019,88000,máy xăng 2.0 L,5,1099000000,đen,Xe cũ,Xăng
Mercedes,Benz S class S450L Luxury,2020,56000,máy xăng 3.0 L,5,2789000000,đen,Xe cũ,Xăng
Lexus,RX 350,2016,93000,máy xăng 3.5 L,5,2199000000,trắng,Xe cũ,Xăng
LandRover,Range Rover Autobiography LWB 3.0 I6 P360 AWD,2022,32000,máy xăng 3.0 L,5,11600000000,trắng,Xe cũ,Xăng
Audi,Q5 2.0 AT,2017,89000,máy xăng 2.0 L,5,1089000000,đen,Xe cũ,Xăng
Mitsubishi,Xpander Premium 1.5 AT,2024,10000,máy xăng 1.5 L,7,600000000,đỏ,Xe cũ,Xăng
Mercedes,Benz S class S450L Luxury,2020,40000,máy xăng 3.0 L,5,2839000000,trắng,Xe cũ,Xăng
Mercedes,Benz C class C200,2018,93000,máy xăng 2.0 L,5,779000000,đen,Xe cũ,Xăng
Mercedes,Benz Maybach S450 4Matic,2020,52000,máy xăng 3.0 L,5,4500000000,trắng,Xe cũ,Xăng
Audi,Q5 2.0 AT,2017,69000,máy xăng 2.0 L,5,1099000000,đỏ,Xe cũ,Xăng
Mercedes,Benz E class E200 Sport,2019,65000,máy xăng 2.0 L,5,1279000000,đỏ,Xe cũ,Xăng
Mercedes,Benz S class S450 4Matic Luxury,2022,35000,máy xăng 3.0 L,5,3950000000,đen,Xe cũ,Xăng
Porsche,Cayenne Coupe,2020,92800,máy xăng 3.0 L,5,3989000000,trắng,Xe cũ,Xăng
Mercedes,Benz E class E200,2016,110000,máy xăng 2.0 L,5,789000000,đen,Xe cũ,Xăng
LandRover,Range Rover SV Autobiography LWB 5.0,2016,70000,máy xăng 5.0 L,4,5299000000,trắng,Xe cũ,Xăng
Mazda,3 1.5L Luxury,2024,15000,máy xăng 1.5 L,5,629000000,đỏ,Xe cũ,Xăng
Mitsubishi,Pajero Sport 2.4D 4x4 AT,2023,33000,máy dầu 2.4 L,7,1130000000,trắng,Xe cũ,Dầu
Mazda,BT50 2.2L 4x2 ATH,2018,82436,máy dầu 2.2 L,5,450000000,trắng,Xe cũ,Dầu
Mercedes,Benz GLS 450 4Matic,2021,48000,máy xăng 3.0 L,7,3890000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLS 450 4Matic,2022,45000,máy xăng 3.0 L,7,4029000000,trắng,Xe cũ,Xăng
Mercedes,Benz E class E300 AMG,2017,80000,máy xăng 2.0 L,5,1180000000,trắng,Xe cũ,Xăng
Hyundai,HD 78,2015,,máy dầu 3.9 L,3,380000000,xanh,Xe cũ,Dầu
Mercedes,Benz C class C43 AMG 4Matic,2023,1234,máy xăng 2.0 L,5,2358000000,trắng,Xe cũ,Xăng
LandRover,Range Rover HSE LWB 5.0,2013,,máy xăng 5.0 L,5,1890000000,đen,Xe cũ,Xăng
Porsche,Macan 2.0,2022,10000,máy xăng 2.0 L,5,3679000000,trắng,Xe cũ,Xăng
Kia,K3 Premium 2.0 AT,2022,48000,máy xăng 2.0 L,5,565000000,đỏ,Xe cũ,Xăng
Mercedes,Benz CLA class CLA 45 AMG 4Matic,2015,42000,máy xăng 2.0 L,5,619000000,vàng,Xe cũ,Xăng
BMW,5 Series 528i GT,2013,110000,máy xăng 2.0 L,5,685000000,xám,Xe cũ,Xăng
Toyota,Camry 2.5Q,2020,54500,máy xăng 2.5 L,5,920000000,đen,Xe cũ,Xăng
Toyota,Corolla altis 1.8G AT,2017,93000,máy xăng 1.8 L,5,500000000,nâu,Xe cũ,Xăng
Hyundai,SantaFe Cao cấp 2.2L HTRAC,2022,70000,máy dầu 2.2 L,7,1155000000,trắng,Xe cũ,Dầu
Mercedes,Benz C class C200,2018,45000,máy xăng 2.0 L,5,810000000,trắng,Xe cũ,Xăng
Toyota,Fortuner Legender 2.4L 4x2 AT,2022,68000,máy dầu 2.4 L,7,1050000000,đen,Xe cũ,Dầu
Hyundai,Tucson 2.0 ATH,2020,63000,máy xăng 2.0 L,5,695000000,đen,Xe cũ,Xăng
Hyundai,Elantra 1.6 MT,2017,70000,máy xăng 1.6 L,5,319000000,trắng,Xe cũ,Xăng
BMW,2 Series 218i Gran Tourer,2016,90000,máy xăng 1.5 L,7,545000000,trắng,Xe cũ,Xăng
Lexus,LS 600hL,2008,100000,,5,990000000,bạc,Xe cũ,
Hyundai,Tucson 2.0 AT Tiêu chuẩn,2024,3000,máy xăng 2.0 L,5,765000000,trắng,Xe cũ,Xăng
Audi,S8 4.0 TFSI Quattro,2020,12000,máy xăng 4.0 L,5,4900000000,trắng,Xe cũ,Xăng
Ford,Ranger XLS 2.2L 4x2 AT,2021,23000,máy dầu 2.2 L,5,585000000,đen,Xe cũ,Dầu
Ford,EcoSport Titanium 1.5L AT,2019,63000,máy xăng 1.5 L,5,465000000,xanh,Xe cũ,Xăng
Mitsubishi,Triton GLX 4x2 MT,2014,174000,máy dầu 2.5 L,5,275000000,xám,Xe cũ,Dầu
Toyota,Corolla altis 1.8G AT,2011,160000,máy xăng 1.8 L,5,339000000,đen,Xe cũ,Xăng
Toyota,Vios 1.5G,2013,130000,máy xăng 1.5 L,5,298000000,đen,Xe cũ,Xăng
Mercedes,Benz E class E250,2011,125000,máy xăng 1.8 L,5,338000000,đen,Xe cũ,Xăng
Lexus,RX 350,2009,78000,máy xăng 3.5 L,5,760000000,đen,Xe cũ,Xăng
Mazda,CX5 2.5 AT 2WD,2018,70000,máy xăng 2.5 L,5,620000000,đen,Xe cũ,Xăng
BMW,X1 sDrive18i,2021,34000,máy xăng 1.5 L,5,1290000000,nâu,Xe cũ,Xăng
VinFast,Fadil Tiêu chuẩn 1.4 AT,2022,62000,máy xăng 1.4 L,5,325000000,trắng,Xe cũ,Xăng
Hyundai,Accent 1.4 ATH,2020,70000,máy xăng 1.4 L,5,425000000,trắng,Xe cũ,Xăng
Toyota,Fortuner 2.4L 4x2 MT,2022,80000,máy dầu 2.4 L,7,880000000,trắng,Xe cũ,Dầu
Kia,Sedona Platinum D,2018,84000,máy dầu 2.2 L,7,740000000,xanh,Xe cũ,Dầu
Toyota,Yaris G 1.5 AT,2021,,máy xăng 1.5 L,5,580000000,trắng,Xe cũ,Xăng
Dongben,DB X30 V2S,2017,35000,máy xăng 1.5 L,2,120000000,bạc,Xe cũ,Xăng
Toyota,Fortuner 2.7V 4x4 AT,2016,74286,máy xăng 2.7 L,7,510000000,bạc,Xe cũ,Xăng
Toyota,Corolla altis 1.8G AT,2021,32000,máy xăng 1.8 L,5,630000000,trắng,Xe cũ,Xăng
Kia,K3 Premium 1.6 AT,2022,42000,máy xăng 1.6 L,5,560000000,đỏ,Xe cũ,Xăng
Ford,EcoSport Titanium 1.5L AT,2015,27000,máy xăng 1.5 L,5,355000000,bạc,Xe cũ,Xăng
Mitsubishi,Triton 4x4 MT,2015,,máy dầu 2.5 L,5,365000000,xanh,Xe cũ,Dầu
Toyota,Corolla Cross 1.8HV,2021,66000,,5,785000000,đỏ,Xe cũ,
Mercedes,Benz GLC 200 4Matic,2023,23000,máy xăng 2.0 L,5,1975000000,trắng,Xe cũ,Xăng
Mitsubishi,Triton 4x4 MT,2015,,máy dầu 2.5 L,5,365000000,xanh,Xe cũ,Dầu
Toyota,Corolla Cross 1.8HV,2021,66000,,5,785000000,đỏ,Xe cũ,
Mercedes,Benz GLC 200 4Matic,2023,23000,máy xăng 2.0 L,5,1975000000,trắng,Xe cũ,Xăng
Mazda,CX8 Luxury,2021,60000,máy xăng 2.5 L,7,815000000,xanh,Xe cũ,Xăng
Kia,Morning Luxury,2019,30000,máy xăng 1.25 L,5,318000000,đỏ,Xe cũ,Xăng
Honda,Civic 2.0 AT,2014,120000,máy xăng 2.0 L,5,410000000,bạc,Xe cũ,Xăng
Mitsubishi,Pajero Sport 3.0G 4x2 AT,2017,99000,máy xăng 3.0 L,7,599000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2024,1330,máy xăng 2.0 L,5,2650000000,đen,Xe cũ,Xăng
Hyundai,SantaFe 2.2L 4WD,2016,88000,máy dầu 2.2 L,7,677000000,nâu,Xe cũ,Dầu
Mercedes,Benz C class C200,2018,52000,máy xăng 2.0 L,5,830000000,trắng,Xe cũ,Xăng
Kia,Sportage Signature X-Line 2.0D,2023,20000,máy dầu 2.0 L,5,945000000,trắng,Xe cũ,Dầu
Kia,Seltos Premium 1.4 AT,2020,58000,máy xăng 1.4 L,5,570000000,cam,Xe cũ,Xăng
Mercedes,Benz C class C300 AMG,2022,9000,máy xăng 2.0 L,5,1679000000,xám,Xe cũ,Xăng
Toyota,Veloz Cross Top 1.5 CVT,2022,63000,máy xăng 1.5 L,7,565000000,bạc,Xe cũ,Xăng
Mercedes,Benz Maybach S450 4Matic,2020,52000,máy xăng 3.0 L,5,4480000000,trắng,Xe cũ,Xăng
Kia,Cerato 1.6 AT Luxury,2019,83000,máy xăng 1.6 L,5,485000000,đỏ,Xe cũ,Xăng
Hyundai,Accent 1.4 ATH,2018,39000,máy xăng 1.4 L,5,395000000,trắng,Xe cũ,Xăng
Ford,Everest Titanium 2.0L 4x2 AT,2024,30000,máy dầu 2.0 L,7,1325000000,trắng,Xe cũ,Dầu
Ford,Explorer Limited 2.3L EcoBoost,2022,29000,máy xăng 2.3 L,7,1780000000,xanh,Xe cũ,Xăng
Toyota,Vios G 1.5 CVT,2023,11000,máy xăng 1.5 L,5,520000000,cát,Xe cũ,Xăng
Mercedes,Benz Maybach S450 4Matic,2020,52000,máy xăng 3.0 L,5,4480000000,trắng,Xe cũ,Xăng
Kia,Cerato 1.6 AT Luxury,2019,83000,máy xăng 1.6 L,5,485000000,đỏ,Xe cũ,Xăng
Hyundai,Accent 1.4 ATH,2018,39000,máy xăng 1.4 L,5,395000000,trắng,Xe cũ,Xăng
Ford,Everest Titanium 2.0L 4x2 AT,2024,30000,máy dầu 2.0 L,7,1325000000,trắng,Xe cũ,Dầu
Ford,Explorer Limited 2.3L EcoBoost,2022,29000,máy xăng 2.3 L,7,1780000000,xanh,Xe cũ,Xăng
Toyota,Vios G 1.5 CVT,2023,11000,máy xăng 1.5 L,5,520000000,cát,Xe cũ,Xăng
Mercedes,Benz GLE Class GLE 400 4Matic Coupe,2016,80000,máy xăng 3.0 L,5,1499000000,trắng,Xe cũ,Xăng
VinFast,Lux A 2.0 Premium 2.0 AT,2019,70000,máy xăng 2.0 L,5,585000000,đen,Xe cũ,Xăng
Nissan,Almera VL 1.0 CVT Cao cấp,2021,120000,máy xăng 1.0 L,5,420000000,trắng,Xe cũ,Xăng
Ford,Everest Titanium 2.0L 4x2 AT,2022,25000,máy dầu 2.0 L,7,1170000000,đỏ,Xe cũ,Dầu
Kia,Soul 2.0 AT,2014,120000,máy xăng 2.0 L,5,415000000,đen,Xe cũ,Xăng
Ford,Ranger Raptor 2.0L 4x4 AT,2023,44000,máy dầu 2.0 L,5,1115000000,trắng,Xe cũ,Dầu
Kia,Cerato 2.0 AT Premium,2019,63000,máy xăng 2.0 L,5,495000000,đỏ,Xe cũ,Xăng
Toyota,Innova 2.0E,2018,95000,máy xăng 2.0 L,8,400000000,trắng,Xe cũ,Xăng
Hyundai,Creta Đặc biệt 1.5 AT,2022,27000,máy xăng 1.5 L,5,595000000,trắng,Xe cũ,Xăng
VinFast,Fadil 1.4 AT,2021,30000,máy xăng 1.4 L,5,325000000,trắng,Xe cũ,Xăng
Mitsubishi,Xpander Cross 1.5 AT,2020,60000,máy xăng 1.5 L,7,505000000,cam,Xe cũ,Xăng
Toyota,Fortuner 2.7V 4x4 AT,2009,160000,máy xăng 2.7 L,7,345000000,bạc,Xe cũ,Xăng
Mazda,CX5 Signature Premium 2.5 AT AWD I-Activ,2022,48000,máy xăng 2.5 L,5,795000000,trắng,Xe cũ,Xăng
Kia,Seltos Luxury 1.4 AT,2020,58000,máy xăng 1.4 L,5,565000000,đỏ,Xe cũ,Xăng
Kia,Seltos Luxury 1.4 AT,2020,58000,máy xăng 1.4 L,5,565000000,đỏ,Xe cũ,Xăng
Mercedes,Benz E class E200 Exclusive,2021,45000,máy xăng 2.0 L,5,1599000000,đỏ,Xe cũ,Xăng
Peugeot,3008 GT,2024,1033,máy xăng 1.6 L,5,1010000000,đỏ,Xe cũ,Xăng
Mercedes,Benz C class C300 AMG,2022,11000,máy xăng 2.0 L,5,1738000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLE Class GLE 450 4Matic,2019,90000,máy xăng 3.0 L,7,2850000000,trắng,Xe cũ,Xăng
Mercedes,Benz E class E200,2019,,máy xăng 2.0 L,5,1130000000,trắng,Xe cũ,Xăng
Mercedes,Benz G class G63 AMG,2015,50000,máy xăng 5.5 L,5,5450000000,xám,Xe cũ,Xăng
Toyota,Vios G 1.5 CVT,2023,29000,máy xăng 1.5 L,5,515000000,trắng,Xe cũ,Xăng
VinFast,Lux A 2.0 Plus 2.0 AT,2021,44000,máy xăng 2.0 L,5,620000000,đen,Xe cũ,Xăng
Toyota,Fortuner 2.7V 4x2 AT,2019,46000,máy xăng 2.7 L,7,795000000,đen,Xe cũ,Xăng
Toyota,Corolla altis 1.8G,2022,40000,máy xăng 1.8 L,5,659000000,đen,Xe cũ,Xăng
Lexus,RX 350 Luxury,2024,3900,máy xăng 2.4 L,5,4450000000,xám,Xe cũ,Xăng
Mercedes,Benz GLC 200 4Matic,2021,53000,máy xăng 2.0 L,5,1495000000,đen,Xe cũ,Xăng
BMW,3 Series 320i,2015,79000,máy xăng 2.0 L,5,559000000,trắng,Xe cũ,Xăng
Mercedes,Benz C class C300 AMG,2016,900000,máy xăng 2.0 L,5,715000000,trắng,Xe cũ,Xăng
Volvo,XC90 T6 2.0 AT,2015,,máy xăng 2.0 L,7,1450000000,đen,Xe cũ,Xăng
Hyundai,Sonata 2.0 AT,2016,80000,máy xăng 2.0 L,5,470000000,trắng,Xe cũ,Xăng
Mazda,3 1.5L Luxury,2023,13000,máy xăng 1.5 L,5,615000000,trắng,Xe cũ,Xăng
Toyota,Corolla altis 2.0V,2010,120000,máy xăng 2.0 L,5,310000000,vàng,Xe cũ,Xăng
Toyota,Innova E 2.0 MT,2023,5800,máy xăng 2.0 L,8,703000000,trắng,Xe cũ,Xăng
Toyota,Corolla altis 2.0V,2010,120000,máy xăng 2.0 L,5,310000000,vàng,Xe cũ,Xăng
Toyota,Innova E 2.0 MT,2023,5800,máy xăng 2.0 L,8,703000000,trắng,Xe cũ,Xăng
Kia,Morning Luxury,2020,83000,máy xăng 1.25 L,5,319000000,trắng,Xe cũ,Xăng
Ford,Everest Titanium 2.0L 4x2 AT,2022,50000,máy dầu 2.0 L,7,970000000,đen,Xe cũ,Dầu
Mercedes,Benz S class S450 Luxury,2021,35000,máy xăng 3.0 L,5,3950000000,đen,Xe cũ,Xăng
Toyota,Vios E 1.5 MT,2024,56000,máy xăng 1.5 L,5,410000000,đồng,Xe cũ,Xăng
Audi,Q5 2.0 AT,2017,75000,máy xăng 2.0 L,5,1089000000,đỏ,Xe cũ,Xăng
Kia,Sedona 2.2 DAT Luxury,2021,64000,máy dầu 2.2 L,7,889000000,trắng,Xe cũ,Dầu
Mercedes,Benz S class S450L Luxury,2020,40000,máy xăng 3.0 L,5,2845000000,trắng,Xe cũ,Xăng
Audi,Q5 2.0 AT,2017,89000,máy xăng 2.0 L,5,1099000000,đen,Xe cũ,Xăng
Mercedes,Benz S class S450 Luxury,2021,35000,máy xăng 3.0 L,5,4050000000,đen,Xe cũ,Xăng
Toyota,Land Cruiser 3.5 V6,2021,50000,máy xăng 3.4 L,7,4550000000,trắng,Xe cũ,Xăng
Mercedes,Benz E class E300 AMG,2021,43000,máy xăng 2.0 L,5,1899000000,đen,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2016,100000,máy xăng 2.0 L,5,879000000,trắng,Xe cũ,Xăng
Ford,Everest Titanium 2.0L 4x4 AT,2020,65000,máy dầu 2.0 L,7,968000000,đỏ,Xe cũ,Dầu
Mercedes,Benz C class C300 AMG,2019,72000,máy xăng 2.0 L,5,1139000000,trắng,Xe cũ,Xăng
Ford,Ranger Wildtrak 2.0L 4x4 AT,2020,90000,máy dầu 2.0 L,5,679000000,đen,Xe cũ,Dầu
Toyota,Innova 2.0E,2016,130000,máy xăng 2.0 L,8,375000000,bạc,Xe cũ,Xăng
Hyundai,SantaFe Cao cấp 2.5L HTRAC,2023,12000,máy xăng 2.5 L,7,1135000000,đen,Xe cũ,Xăng
Porsche,Cayenne 3.0 V6,2018,69000,máy xăng 3.0 L,5,3389000000,xám,Xe cũ,Xăng
Ford,Ranger Limited 2.0L 4x4 AT,2022,46000,máy dầu 2.0 L,5,698000000,đen,Xe cũ,Dầu
Hyundai,SantaFe 2.7L 4WD,2006,,máy xăng 2.7 L,7,196000000,đen,Xe cũ,Xăng
Mercedes,Benz GLC 200,2021,52000,máy xăng 2.0 L,5,1289000000,xám,Xe cũ,Xăng
Ford,Everest Titanium Plus 2.0L 4x4 AT,2022,50000,máy dầu 2.0 L,7,1335000000,cam,Xe cũ,Dầu
Mitsubishi,Outlander 3.0 AT,2008,130000,máy xăng 3.0 L,7,250000000,ghi,Xe cũ,Xăng
Audi,Q7 3.0 AT,2011,86860,máy xăng 3.0 L,7,495000000,xám,Xe cũ,Xăng
Lexus,LM 300h Royal Lounge,2020,,,4,4950000000,trắng,Xe cũ,
Toyota,Fortuner 2.7V 4x2 AT,2017,110000,máy xăng 2.7 L,7,675000000,nâu,Xe cũ,Xăng
Honda,CRV L,2020,,máy xăng 1.5 L,7,780000000,trắng,Xe cũ,Xăng
Jeep,Wrangler,1990,,"máy xăng , số tay, 4 chỗ ...   Salon Auto Sơn Hoa bán xe Jeep Wrangler sản xuất 1990, hàng cực độc ở Việt Nam, số lượng đếm trên đầu ngón tay.
Jeep Wrangler được sản xuất theo yêu cầu của quân đội ... L",4,550000000,trắng,Xe cũ,Xăng
BMW,3 Series 330i M Sport,2024,3900,máy xăng 2.0 L,5,1888000000,đen,Xe cũ,Xăng
Mercedes,Benz EQS 500 4Matic,2023,11666,,5,3999000000,trắng,Xe cũ,
Toyota,Camry 2.5Q,2021,11000,máy xăng 2.5 L,5,915000000,đen,Xe cũ,Xăng
Mazda,3 1.5L Luxury,2023,13000,máy xăng 1.5 L,5,615000000,trắng,Xe cũ,Xăng
Lexus,RX 350,2022,16166,máy xăng 3.5 L,5,3886000000,đen,Xe cũ,Xăng
Toyota,Veloz Cross 1.5 CVT,2022,50000,máy xăng 1.5 L,7,568000000,bạc,Xe cũ,Xăng
Hyundai,Elantra 2.0 AT,2019,80000,máy xăng 2.0 L,5,425000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLC 250 4Matic,2017,80000,máy xăng 2.0 L,5,925000000,trắng,Xe cũ,Xăng
Toyota,Vios 1.5E MT,2020,68000,máy xăng 1.5 L,5,345000000,trắng,Xe cũ,Xăng
Kia,Seltos Premium 1.4 AT,2020,61000,máy xăng 1.4 L,5,540000000,trắng,Xe cũ,Xăng
Lexus,ES 250,2016,66000,máy xăng 2.5 L,5,1075000000,trắng,Xe cũ,Xăng
Toyota,Prado VX 2.7L,2019,70,máy xăng 2.7 L,7,1900000000,trắng,Xe cũ,Xăng
Toyota,Fortuner 2.7V 4X2 AT,2016,110000,máy xăng 2.7 L,7,495000000,ghi,Xe cũ,Xăng
Suzuki,Vitara 1.6 AT,2016,75000,máy xăng 1.6 L,5,395000000,xanh,Xe cũ,Xăng
Kia,Seltos Luxury 1.4 AT,2020,70000,máy xăng 1.4 L,5,565000000,trắng,Xe cũ,Xăng
Toyota,Veloz Cross Top 1.5 CVT,2022,83000,máy xăng 1.5 L,7,575000000,trắng,Xe cũ,Xăng
Kia,Sedona 2.2L DATH,2016,130000,máy dầu 2.2 L,7,635000000,nâu,Xe cũ,Dầu
Mercedes,Benz Maybach S600,2015,37000,máy xăng 6.0 L,4,3650000000,đen,Xe cũ,Xăng
Hyundai,Starex Van 2.5 MT,2004,356876,máy dầu 2.5 L,6,72000000,bạc,Xe cũ,Dầu
Kia,Seltos Premium 1.6 AT,2021,20000,máy xăng 1.6 L,5,615000000,xanh,Xe cũ,Xăng
Toyota,Fortuner 2.8V 4x4 AT,2020,,máy dầu 2.8 L,7,935000000,trắng,Xe cũ,Dầu
Kia,Cerato 2.0 AT Premium,2021,45000,máy xăng 2.0 L,5,499000000,đỏ,Xe cũ,Xăng
Bentley,Flying Spur Speed,2010,8,máy xăng 6.0 L,5,1380000000,trắng,Xe cũ,Xăng
Nissan,Navara EL 2.5 AT 2WD,2018,55000,máy dầu 2.5 L,5,446000000,bạc,Xe cũ,Dầu
Mercedes,Benz GLC 200,2020,40000,máy xăng 2.0 L,5,1250000000,xám,Xe cũ,Xăng
